x  y  conc vel  dir
  1.5000      1.5000      0.0000      1.4249     -60.433    
  1.5000      4.5000      0.0000      1.4503     -60.439    
  1.5000      7.5000      0.0000      1.4665     -60.220    
  1.5000      10.500      0.0000      1.4798     -60.225    
  1.5000      13.500      0.0000      1.5068     -60.226    
  1.5000      16.500      0.0000      1.5346     -60.227    
  1.5000      19.500      0.0000      1.5629     -60.228    
  1.5000      22.500      0.0000      1.5882     -60.451    
  1.5000      25.500      0.0000      1.6174     -60.449    
  1.5000      28.500      0.0000      1.6469     -60.446    
  1.5000      31.500      0.0000      1.6654     -60.221    
  1.5000      34.500      0.0000      1.6803     -60.220    
  1.5000      37.500      0.0000      1.7100     -60.215    
  1.5000      40.500      0.0000      1.7396     -60.210    
  1.5000      43.500      0.0000      1.7689     -60.204    
  1.5000      46.500      0.0000      1.7942     -60.398    
  1.5000      49.500      0.0000      1.8224     -60.382    
  1.5000      52.500      0.0000      1.8398     -60.187    
  1.5000      55.500      0.0000      1.8533     -60.179    
  1.5000      58.500      0.0000      1.8796     -60.169    
  1.5000      61.500      0.0000      1.9046     -60.158    
  1.5000      64.500      0.0000      1.9283     -60.146    
  1.5000      67.500      0.0000      1.9476     -60.279    
  1.5000      70.500      0.0000      1.9683     -60.255    
  1.5000      73.500      0.0000      1.9872     -60.231    
  1.5000      76.500      0.0000      1.9984     -60.109    
  1.5000      79.500      0.0000      2.0065     -60.097    
  1.5000      82.500      0.0000      2.0215     -60.085    
  1.5000      85.500      0.0000      2.0345     -60.073    
  1.5000      88.500      0.0000      2.0458     -60.061    
  1.5000      91.500      0.0000      2.0539     -60.111    
  1.5000      94.500      0.0000      2.0618     -60.090    
  1.5000      97.500      0.0000      2.0662     -60.040    
  1.5000      100.50      0.0000      2.0690     -60.031    
  1.5000      103.50      0.0000      2.0735     -60.022    
  1.5000      106.50      0.0000      2.0768     -60.015    
  1.5000      109.50      0.0000      2.0788     -60.008    
  1.5000      112.50      0.0000      2.0795     -60.009    
  1.5000      115.50      0.0000      2.0795     -59.997    
  1.5000      118.50      0.0000      2.0786     -59.987    
  1.5000      121.50      0.0000      2.0777     -59.991    
  1.5000      124.50      0.0000      2.0767     -59.986    
  1.5000      127.50      0.0000      2.0740     -59.981    
  1.5000      130.50      0.0000      2.0707     -59.977    
  1.5000      133.50      0.0000      2.0666     -59.973    
  1.5000      136.50      0.0000      2.0623     -59.941    
  1.5000      139.50      0.0000      2.0569     -59.933    
  1.5000      142.50      0.0000      2.0533     -59.964    
  1.5000      145.50      0.0000      2.0501     -59.960    
  1.5000      148.50      0.0000      2.0432     -59.956    
  1.5000      151.50      0.0000      2.0357     -59.951    
  1.5000      154.50      0.0000      2.0275     -59.947    
  1.5000      157.50      0.0000      2.0197     -59.890    
  1.5000      160.50      0.0000      2.0103     -59.882    
  1.5000      163.50      0.0000      2.0003     -59.874    
  1.5000      166.50      0.0000      1.9938     -59.935    
  1.5000      169.50      0.0000      1.9883     -59.931    
  1.5000      172.50      0.0000      1.9769     -59.926    
  1.5000      175.50      0.0000      1.9649     -59.922    
  1.5000      178.50      0.0000      1.9538     -59.838    
  1.5000      181.50      0.0000      1.9405     -59.828    
  1.5000      184.50      0.0000      1.9264     -59.817    
  1.5000      187.50      0.0000      1.9174     -59.905    
  1.5000      190.50      0.0000      1.9098     -59.900    
  1.5000      193.50      0.0000      1.8941     -59.894    
  1.5000      196.50      0.0000      1.8775     -59.888    
  1.5000      199.50      0.0000      1.8602     -59.881    
  1.5000      202.50      0.0000      1.8443     -59.755    
  1.5000      205.50      0.0000      1.8256     -59.743    
  1.5000      208.50      0.0000      1.8061     -59.731    
  1.5000      211.50      0.0000      1.7937     -59.862    
  1.5000      214.50      0.0000      1.7836     -59.857    
  1.5000      217.50      0.0000      1.7629     -59.852    
  1.5000      220.50      0.0000      1.7417     -59.848    
  1.5000      223.50      0.0000      1.7229     -59.690    
  1.5000      226.50      0.0000      1.7011     -59.682    
  1.5000      229.50      0.0000      1.6792     -59.675    
  1.5000      232.50      0.0000      1.6654     -59.836    
  1.5000      235.50      0.0000      1.6544     -59.834    
  1.5000      238.50      0.0000      1.6323     -59.833    
  1.5000      241.50      0.0000      1.6103     -59.831    
  1.5000      244.50      0.0000      1.5885     -59.830    
  1.5000      247.50      0.0000      1.5696     -59.658    
  1.5000      250.50      0.0000      1.5481     -59.658    
